# Je drei Spalten beschreiben ein L: Temperatur, Wert, Fehler
# L:  16 32 64 128 256
1.744 None 0   None 0   None 0   None 0   1.18800383691 0
1.748 None 0   None 0   None 0   None 0   1.05672980431 0
1.75 0.781797202609 0   None 0   None 0   None 0   None 0
1.752 None 0   None 0   None 0   None 0   0.841898560298 0
1.756 None 0   None 0   None 0   None 0   1.61870709144 0
1.76 None 0   None 0   0.889799866519 0   0.807641617816 0   1.12814491917 0
1.764 None 0   None 0   None 0   None 0   0.744445652975 0
1.768 None 0   None 0   None 0   None 0   1.03002659879 0
1.772 None 0   None 0   None 0   None 0   0.85192679834 0
1.776 None 0   None 0   None 0   None 0   0.727418856179 0
1.78 None 0   None 0   None 0   0.885910166192 0   0.747825395265 0
1.784 None 0   None 0   None 0   None 0   0.717336120949 0
1.788 None 0   None 0   None 0   None 0   0.777627938326 0
1.79 None 0   None 0   1.15929872747 0   None 0   None 0
1.792 None 0   None 0   None 0   None 0   0.622841229775 0
1.796 None 0   None 0   None 0   None 0   0.720894001989 0
1.8 None 0   1.19557252385 0   None 0   0.969597183947 0   1.00835059623 0
1.815 None 0   None 0   None 0   None 0   0.686438013275 0
1.82 None 0   None 0   1.02835364811 0   0.857839032195 0   None 0
1.83 None 0   None 0   None 0   None 0   0.669610308275 0
1.84 None 0   None 0   None 0   1.11483358723 0   None 0
1.845 None 0   None 0   None 0   None 0   0.62979487344 0
1.85 None 0   None 0   1.11665632376 0   None 0   None 0
1.86 None 0   None 0   None 0   0.852480784537 0   0.766803000402 0
1.875 None 0   None 0   None 0   None 0   0.768384070436 0
1.88 None 0   None 0   0.934357806921 0   0.858223259545 0   None 0
1.89 None 0   0.935579015384 0   None 0   None 0   0.856558026445 0
1.9 1.06405285561 0   None 0   None 0   0.719899130629 0   None 0
1.905 None 0   None 0   None 0   None 0   0.921878065455 0
1.91 None 0   None 0   1.02953483018 0   None 0   None 0
1.92 None 0   None 0   None 0   0.871142166203 0   0.787496536811 0
1.935 None 0   None 0   None 0   None 0   0.652450538809 0
1.94 None 0   None 0   0.93636915892 0   1.30163388892 0   None 0
1.95 None 0   None 0   None 0   None 0   0.725251727797 0
1.96 None 0   None 0   None 0   0.923477793946 0   None 0
1.965 None 0   None 0   None 0   None 0   0.619138502355 0
1.97 None 0   None 0   0.988037809793 0   None 0   None 0
1.98 None 0   0.731475731734 0   None 0   0.728245668046 0   0.608941561771 0
1.995 None 0   None 0   None 0   None 0   0.72365393587 0
2.0 0.991045701809 0   None 0   1.09652893255 0   0.847789353463 0   None 0
2.01 None 0   None 0   None 0   None 0   0.81561085381 0
2.02 None 0   None 0   None 0   0.780997421302 0   None 0
2.025 None 0   None 0   None 0   None 0   0.872797475194 0
2.03 None 0   None 0   0.958261208126 0   None 0   None 0
2.04 None 0   None 0   None 0   0.800255678222 0   0.708458555471 0
2.055 None 0   None 0   None 0   None 0   0.793665136253 0
2.06 None 0   None 0   1.06227634646 0   0.805918562854 0   None 0
2.07 None 0   0.854975327085 0   None 0   None 0   0.835794014049 0
2.08 None 0   None 0   None 0   0.663770161563 0   0.799046507836 0
2.087 None 0   None 0   None 0   None 0   0.880849726265 0
2.09 None 0   None 0   0.929543346677 0   0.869930238691 0   None 0
2.094 None 0   None 0   None 0   None 0   1.33285728124 0
2.1 None 0   None 0   None 0   0.720687928895 0   None 0
2.101 None 0   None 0   None 0   None 0   0.913176298723 0
2.108 None 0   None 0   None 0   None 0   0.952021291054 0
2.11 None 0   None 0   None 0   0.78208493998 0   None 0
2.115 None 0   None 0   None 0   None 0   0.975111768403 0
2.12 None 0   None 0   1.10750904997 0   0.713788008488 0   None 0
2.122 None 0   None 0   None 0   None 0   0.677066275394 0
2.129 None 0   None 0   None 0   None 0   0.754163379185 0
2.13 None 0   None 0   None 0   0.653428188843 0   None 0
2.136 None 0   None 0   None 0   None 0   0.88834553578 0
2.14 None 0   None 0   None 0   0.93812793595 0   None 0
2.143 None 0   None 0   None 0   None 0   0.805516994456 0
2.15 None 0   None 0   0.789197891967 0   0.893939573947 0   1.09299704253 0
2.157 None 0   None 0   None 0   None 0   0.832782286756 0
2.16 None 0   0.865643892182 0   None 0   0.921133901335 0   None 0
2.164 None 0   None 0   None 0   None 0   0.869036120014 0
2.17 None 0   None 0   None 0   1.08017551797 0   None 0
2.171 None 0   None 0   None 0   None 0   1.18926308049 0
2.178 None 0   None 0   None 0   None 0   1.1421767076 0
2.18 None 0   None 0   1.04804300574 0   0.893647162734 0   None 0
2.185 None 0   None 0   None 0   None 0   1.0410838426 0
2.19 None 0   None 0   None 0   0.835355643499 0   None 0
2.192 None 0   None 0   None 0   None 0   1.12721129728 0
2.199 None 0   None 0   None 0   None 0   1.30375532019 0
2.2 0.733770756035 0   None 0   None 0   1.08943353209 0   None 0
2.206 None 0   None 0   None 0   None 0   1.04205145951 0
2.21 None 0   None 0   0.652233393108 0   1.48552114281 0   None 0
